fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;0
7.8;0.88;0.0;2.6;0.098;25.0;67.0;0.9968;3.2;0.68;9.8;0
7.8;0.76;0.04;2.3;0.092;15.0;54.0;0.997;3.26;0.65;9.8;0
11.2;0.28;0.56;1.9;0.075;17.0;60.0;0.998;3.16;0.58;9.8;0
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;0
7.4;0.66;0.0;1.8;0.075;13.0;40.0;0.9978;3.51;0.56;9.4;0
7.9;0.6;0.06;1.6;0.069;15.0;59.0;0.9964;3.3;0.46;9.4;0
7.3;0.65;0.0;1.2;0.065;15.0;21.0;0.9946;3.39;0.47;10.0;1
7.8;0.58;0.02;2.0;0.073;9.0;18.0;0.9968;3.36;0.57;9.5;1
7.5;0.5;0.36;3.6917619112377773;0.071;17.0;101.5;0.9978;3.35;0.8;10.5;0
6.7;0.58;0.08;1.8;0.09699999999999999;15.0;65.0;0.9959;3.28;0.54;9.2;0
7.5;0.5;0.36;3.6917619112377773;0.071;17.0;101.5;0.9978;3.35;0.8;10.5;0
5.6;0.615;0.0;1.6;0.08900000000000001;16.0;59.0;0.9943;3.58;0.52;9.9;0
7.8;0.61;0.29;1.6;0.114;9.0;29.0;0.9974;3.26;1.0650000000000002;9.1;0
8.9;0.62;0.18;3.6917619112377773;0.11809664784940449;39.77518795919791;101.5;0.9986;3.16;0.88;9.2;0
8.9;0.62;0.19;3.6917619112377773;0.11809664784940449;39.77518795919791;101.5;0.9986;3.17;0.93;9.2;0
8.5;0.28;0.56;1.8;0.092;35.0;101.5;0.9969;3.3;0.75;10.5;1
8.1;0.56;0.28;1.7;0.11809664784940449;16.0;56.0;0.9968;3.11;1.0650000000000002;9.3;0
7.4;0.59;0.08;3.6917619112377773;0.086;6.0;29.0;0.9974;3.38;0.5;9.0;0
7.9;0.32;0.51;1.8;0.11809664784940449;17.0;56.0;0.9969;3.04;1.0650000000000002;9.2;0
8.9;0.22;0.48;1.8;0.077;29.0;60.0;0.9968;3.39;0.53;9.4;0
7.6;0.39;0.31;2.3;0.08199999999999999;23.0;71.0;0.9982;3.52;0.65;9.7;0
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;0
8.5;0.49;0.11;2.3;0.084;9.0;67.0;0.9968;3.17;0.53;9.4;0
6.9;0.4;0.14;2.4;0.085;21.0;40.0;0.9968;3.43;0.63;9.7;0
6.3;0.39;0.16;1.4;0.08;11.0;23.0;0.9955;3.34;0.56;9.3;0
7.6;0.41;0.24;1.8;0.08;4.0;11.0;0.9962;3.28;0.59;9.5;0
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;0
7.1;0.71;0.0;1.9;0.08;14.0;35.0;0.9972;3.47;0.55;9.4;0
7.8;0.645;0.0;2.0;0.08199999999999999;8.0;16.0;0.9964;3.38;0.59;9.8;0
6.7;0.675;0.07;2.4;0.08900000000000001;17.0;82.0;0.9958;3.35;0.54;10.1;0
6.9;0.685;0.0;2.5;0.105;22.0;37.0;0.9966;3.46;0.57;10.6;0
8.3;0.655;0.12;2.3;0.083;15.0;101.5;0.9966;3.17;0.66;9.8;0
6.9;0.605;0.12;3.6917619112377773;0.073;39.77518795919791;83.0;0.9993;3.45;0.52;9.4;0
5.2;0.32;0.25;1.8;0.10300000000000001;13.0;50.0;0.9957;3.38;0.55;9.2;0
7.8;0.645;0.0;3.6917619112377773;0.086;5.0;18.0;0.9986;3.4;0.55;9.6;0
7.8;0.6;0.14;2.4;0.086;3.0;15.0;0.9975;3.42;0.6;10.8;0
8.1;0.38;0.28;2.1;0.066;13.0;30.0;0.9968;3.23;0.73;9.7;1
5.7;0.9605402158181046;0.09;1.5;0.11809664784940449;7.0;19.0;0.9940000000000001;3.5;0.48;9.8;0
7.3;0.45;0.36;3.6917619112377773;0.07400000000000001;12.0;87.0;0.9978;3.33;0.83;10.5;0
7.3;0.45;0.36;3.6917619112377773;0.07400000000000001;12.0;87.0;0.9978;3.33;0.83;10.5;0
8.8;0.61;0.3;2.8;0.08800000000000001;17.0;46.0;0.9976;3.26;0.51;9.3;0
7.5;0.49;0.2;2.6;0.11809664784940449;8.0;14.0;0.9968;3.21;0.9;10.5;0
8.1;0.66;0.22;2.2;0.069;9.0;23.0;0.9968;3.3;1.0650000000000002;10.3;0
